"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"22.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"18.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"17.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"16.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"15.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"14.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"11.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"10.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"09.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"08.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"07.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"04.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"03.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"02.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"01.02.2022","0,08","0,08","0,08","0,08","","0,00%"
"31.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"28.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"27.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"26.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"25.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"24.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"21.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"20.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"19.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"18.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"14.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"13.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"12.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"11.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"10.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"07.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"06.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"05.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"04.01.2022","0,08","0,08","0,08","0,08","","0,00%"
"03.01.2022","0,08","0,08","0,08","0,08","","14,29%"
"31.12.2021","0,07","0,07","0,07","0,07","","-12,50%"
"30.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"29.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"28.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"27.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"24.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"23.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"22.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"21.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"20.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"17.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"16.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"15.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"14.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"13.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"10.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"09.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"08.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"07.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"06.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"03.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"02.12.2021","0,08","0,08","0,08","0,08","","0,00%"
"01.12.2021","0,08","0,08","0,08","0,08","","14,29%"
"30.11.2021","0,07","0,07","0,07","0,07","","-12,50%"
"29.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"26.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"24.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"23.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"22.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"19.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"18.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"17.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"16.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"15.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"12.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"10.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"09.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"08.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"05.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"04.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"03.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"02.11.2021","0,08","0,08","0,08","0,08","","0,00%"
"01.11.2021","0,08","0,08","0,08","0,08","","14,29%"
"29.10.2021","0,07","0,07","0,07","0,07","","-12,50%"
"28.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"27.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"26.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"25.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"22.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"21.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"20.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"19.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"18.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"15.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"14.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"13.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"12.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"08.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"07.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"06.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"05.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"04.10.2021","0,08","0,08","0,08","0,08","","0,00%"
"01.10.2021","0,08","0,08","0,08","0,08","","33,33%"
"30.09.2021","0,06","0,06","0,06","0,06","","-25,00%"
"29.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"28.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"27.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"24.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"23.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"22.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"21.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"20.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"17.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"16.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"15.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"14.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"13.09.2021","0,08","0,08","0,08","0,08","","0,00%"
"10.09.2021","0,08","0,08","0,08","0,08","","0,00%"
